datetime,CH4,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
2023-09-01 00:15:00,1462.16512,11.17791401,2.453657856,7.422716588973999,1.075266962,0.5,0.01,0.02,0.02,8.96,9.3,9.63,9.82,9.94
2023-09-01 00:20:00,1462.1678,11.50462142,2.413658208,7.810641622543335,1.07524249,0.5,0.01,0.02,0.02,8.96,9.3,9.63,9.82,9.94
2023-09-01 00:25:00,1468.7867300000003,12.30083548,2.747042688,8.096627225875855,0.8874962319999999,0.5,0.01,0.02,0.02,8.96,9.3,9.63,9.82,9.94
2023-09-01 00:30:00,1468.7887400000002,11.66812124,2.5736904959999998,7.729219770431518,1.2092822840000002,0.5,0.01,0.79,0.23,8.12,8.51,8.72,8.95,8.97
2023-09-01 00:35:00,2388.5098,11.07623516,2.49368496,7.25977816581726,0.9142638120000001,0.5,0.01,0.02,0.02,8.12,8.51,8.72,8.95,8.97
2023-09-01 00:40:00,1488.64419,11.464184809999999,2.427014304,7.749763760566711,0.806967658,0.5,0.01,0.02,0.02,8.12,8.51,8.72,8.95,8.97
2023-09-01 00:45:00,1468.7967800000001,10.70898991,2.080302432,7.52519382238388,0.806942122,0.5,0.01,0.02,0.02,7.9,8.27,8.51,9.2,9.98
2023-09-01 00:50:00,1468.79879,9.85172461,1.880277984,6.9740553164482115,0.9410071860000001,0.5,0.01,0.02,0.02,7.9,8.27,8.51,9.2,9.98
2023-09-01 00:55:00,1468.80147,10.076369259999998,2.0269703999999997,6.97419511795044,1.048255194,0.5,0.01,0.02,0.02,7.9,8.27,8.51,9.2,9.98
2023-09-01 01:00:00,1468.8041500000002,9.93357002,1.8802854720000002,7.055889286994934,1.075049374,0.5,0.29,0.84,0.26,7.46,7.87,8.15,8.8,9.5
2023-09-01 01:05:00,1468.80616,11.01557547,2.200338816,7.648069324493408,1.101843554,0.5,0.01,0.02,0.02,7.46,7.87,8.15,8.8,9.5
2023-09-01 01:10:00,1468.80884,11.09732538,2.1870076800000002,7.750222783088684,0.96772662,0.5,0.01,0.02,0.02,7.46,7.87,8.15,8.8,9.5
2023-09-01 01:15:00,1462.19527,10.627914229999998,2.0269878720000003,7.525713410377502,1.074976756,0.5,0.01,0.02,0.02,8.15,8.57,8.86,8.93,9.08
2023-09-01 01:20:00,1475.43045,10.138087089999999,2.12033952,6.893016438484191,1.048133632,0.5,0.01,0.02,0.02,8.15,8.57,8.86,8.93,9.08
2023-09-01 01:25:00,1462.1999600000001,9.7911566,2.13368064,6.525667271614075,1.074928344,0.5,0.01,0.02,0.02,8.15,8.57,8.86,8.93,9.08
2023-09-01 01:30:00,1455.58572,10.32200099,2.333717568,6.750366082191467,1.1821806080000001,0.5,0.26,0.81,0.23,9.13,9.61,10.06,10.24,10.35
2023-09-01 01:35:00,1462.20398,10.117963329999998,2.427071712,6.403454346656799,1.074879932,0.5,0.01,0.02,0.02,9.13,9.61,10.06,10.24,10.35
2023-09-01 01:40:00,1462.20666,11.52658833,3.200540928,6.628324379920959,1.18213326,0.5,0.01,0.02,0.02,9.13,9.61,10.06,10.24,10.35
2023-09-01 01:45:00,1462.2093400000003,12.40446444,3.640623168,6.832677290439605,1.07483152,0.5,0.01,0.02,0.02,9.72,10.23,10.65,10.76,11.91
2023-09-01 01:50:00,1455.59443,10.832723529999999,2.973847968,6.281402170658112,1.07480758,0.5,0.01,0.02,0.02,9.72,10.23,10.65,10.76,11.91
2023-09-01 01:55:00,1448.9808600000001,9.11808597,2.320407648,5.566821136474609,0.96750451,0.5,0.01,0.02,0.02,9.72,10.23,10.65,10.76,11.91
2023-09-01 02:00:00,1448.9835400000002,8.40370777,2.453768928,4.648340294361114,0.860200376,0.5,0.24,0.77,0.17,8.98,9.55,10.06,10.7,11.4
2023-09-01 02:05:00,1448.9862200000002,7.7505699,2.280410496,4.26051863193512,0.833355124,0.5,0.01,0.02,0.02,8.98,9.55,10.06,10.7,11.4
2023-09-01 02:10:00,1435.7543900000003,7.28115302,2.093714688,4.0768303871154785,0.8869700840000001,0.5,0.01,0.02,0.02,8.98,9.55,10.06,10.7,11.4
2023-09-01 02:15:00,1435.7570699999999,8.0977888,3.000552672,3.5055964398384094,1.0210460540000001,0.5,0.01,0.02,0.02,7.78,8.35,8.62,9.7,11.11
2023-09-01 02:20:00,1442.3766700000003,7.750852579999999,2.773849728,3.5056182980537414,0.8332793140000001,0.5,0.01,0.02,0.02,7.78,8.35,8.62,9.7,11.11
2023-09-01 02:25:00,1429.1448400000002,7.118126879999999,2.213749824,3.730096249580383,1.047817358,0.5,0.01,0.02,0.02,7.78,8.35,8.62,9.7,11.11
2023-09-01 02:30:00,1435.76444,6.73036059,2.067059904,3.5668315470218657,0.8064079940000001,0.5,0.19,0.54,0.12,7.49,8.01,8.59,9.09,9.68
2023-09-01 02:35:00,1435.7671200000002,6.546733189999999,1.987049376,3.505655866861343,0.7795616780000001,0.5,0.01,0.02,0.02,7.49,8.01,8.59,9.09,9.68
2023-09-01 02:40:00,1449.0029700000002,6.05689841,1.9070376,3.1382750511169433,0.859998748,0.5,0.01,0.02,0.02,7.49,8.01,8.59,9.09,9.68
2023-09-01 02:45:00,1429.1548900000003,5.73037436,1.6403225279999998,3.219944857358932,0.833152698,0.5,0.01,0.02,0.02,6.98,7.51,8.08,8.28,8.47
2023-09-01 02:50:00,1429.15757,5.66922571,1.6536624,3.1383800160884854,0.7794848040000001,0.5,0.01,0.02,0.02,6.98,7.51,8.08,8.28,8.47
2023-09-01 02:55:00,1429.1602500000001,5.71014555,1.6936745279999998,3.118063488006592,1.0208502780000002,0.5,0.01,0.02,0.02,6.98,7.51,8.08,8.28,8.47
2023-09-01 03:00:00,1442.3961,5.42444584,1.653669888,2.8935889518260955,1.047647384,0.5,0.19,0.47,0.12,6.79,7.33,7.75,8.12,8.38
2023-09-01 03:05:00,1455.6319500000002,5.118333959999999,1.7470252800000001,2.444601172208786,0.993980022,0.5,0.01,0.02,0.02,6.79,7.33,7.75,8.12,8.38
2023-09-01 03:10:00,1435.78454,5.281734459999999,1.7203567679999998,2.648816558122635,1.154885018,0.5,0.01,0.02,0.02,6.79,7.33,7.75,8.12,8.38
2023-09-01 03:15:00,1435.78655,5.5676213500000005,1.787041152,2.832646425962448,1.101217922,0.5,0.01,0.02,0.02,6.67,7.25,7.83,8.29,8.48
2023-09-01 03:20:00,1435.7892299999999,6.0372292299999994,1.907071296,3.118554159402847,1.0743718720000002,0.5,0.01,0.02,0.02,6.67,7.25,7.83,8.29,8.48
2023-09-01 03:25:00,1468.8765100000003,6.363944279999999,2.000427936,3.3023919963836668,1.074347666,0.5,0.01,0.02,0.02,6.67,7.25,7.83,8.29,8.48
2023-09-01 03:30:00,1455.6446800000003,6.48651853,2.027105184,3.384138306379318,1.07432346,0.5,0.19,0.78,0.13,6.15,6.73,7.11,9.04,11.34
2023-09-01 03:35:00,1449.02977,6.3233033,1.933756032,3.363788990974426,0.85972131,0.5,0.01,0.02,0.02,6.15,6.73,7.11,9.04,11.34
2023-09-01 03:40:00,1468.88321,6.0171876,1.920423648,3.078077981472015,0.8060515540000001,0.5,0.01,0.02,0.02,6.15,6.73,7.11,9.04,11.34
2023-09-01 03:45:00,1528.4375000000002,5.64983348,2.2138259519999997,2.2616866171360015,1.02060609,0.5,0.01,0.02,0.02,5.12,5.65,6.3,7.61,9.3
